x,delta_T,initial
-100.0,0.003811913243016315,0.0
-97.997997997998,0.00417886722858467,0.0
-95.995995995996,0.004571648946948993,0.0
-93.993993993994,0.004992333590392885,0.0
-91.991991991992,0.0054432161718633194,0.0
-89.98998998999,0.005926843865225569,0.0
-87.98798798798799,0.006446054617836373,0.0
-85.98598598598599,0.007004023555636322,0.0
-83.98398398398399,0.007604319148557573,0.0
-81.98198198198199,0.008250971708876668,0.0
-79.97997997997999,0.00894855762222261,0.0
-77.97797797797797,0.009702303856592475,0.0
-75.97597597597597,0.010518218903989048,0.0
-73.97397397397397,0.011403258604538892,0.0
-71.97197197197197,0.012365538631760108,0.0
-69.96996996996997,0.013414610335018975,0.0
-67.96796796796797,0.01456182404839163,0.0
-65.96596596596596,0.0158208154063374,0.0
-63.96396396396396,0.01720816828501501,0.0
-61.96196196196196,0.018712794580329224,0.0
-59.95995995995996,0.020313685740037644,0.0
-57.95795795795796,0.0221143678547945,0.0
-55.95595595595595,0.02415712979730715,0.0
-53.95395395395395,0.026498825826038113,0.0
-51.95195195195195,0.02921839994017612,0.0
-49.949949949949946,0.0324299897241078,0.0
-47.947947947947945,0.03630745116870077,0.0
-45.945945945945944,0.04113481928693661,0.0
-43.94394394394394,0.04742467682815923,0.0
-41.94194194194194,0.056256040952994225,0.0
-39.93993993993993,0.07062759941580626,0.0
-37.93793793793793,0.10608057096625323,0.0
-35.93593593593593,0.16593539032018131,1.0
-33.93393393393393,0.18869629558480622,1.0
-31.931931931931928,0.20014522164687798,1.0
-29.929929929929926,0.20766365028303702,1.0
-27.927927927927925,0.21315082880628716,1.0
-25.925925925925924,0.21738829850177707,1.0
-23.923923923923923,0.22077402479459074,1.0
-21.92192192192192,0.2235379527264069,1.0
-19.91991991991992,0.2258245716863318,1.0
-17.91791791791792,0.22773020545991074,1.0
-15.915915915915917,0.229321884081108,1.0
-13.913913913913902,0.23064772680589696,1.0
-11.9119119119119,0.23174302939728297,1.0
-9.9099099099099,0.23263401198837905,1.0
-7.907907907907898,0.23334021363359234,1.0
-5.905905905905897,0.23387606198161748,1.0
-3.9039039039038954,0.23425191509136067,1.0
-1.9019019019018941,0.2344747481316771,1.0
0.10010010010010717,0.23454858701285167,1.0
2.1021021021021085,0.2344747481316771,1.0
4.10410410410411,0.23425191509136065,1.0
6.106106106106111,0.23387606198161748,1.0
8.108108108108112,0.2333402136335923,1.0
10.110110110110114,0.23263401198837905,1.0
12.112112112112115,0.23174302939728297,1.0
14.114114114114116,0.23064772680589693,1.0
16.116116116116117,0.229321884081108,1.0
18.11811811811812,0.22773020545991074,1.0
20.120120120120134,0.2258245716863318,1.0
22.122122122122136,0.2235379527264069,1.0
24.124124124124137,0.22077402479459074,1.0
26.126126126126138,0.21738829850177713,1.0
28.12812812812814,0.21315082880628716,1.0
30.13013013013014,0.20766365028303693,1.0
32.13213213213214,0.20014522164687792,1.0
34.13413413413414,0.18869629558480608,1.0
36.136136136136145,0.16593539032018106,1.0
38.138138138138146,0.10608057096625281,0.0
40.14014014014015,0.07062759941580617,0.0
42.14214214214215,0.05625604095299415,0.0
44.14414414414415,0.04742467682815919,0.0
46.14614614614615,0.04113481928693658,0.0
48.14814814814815,0.03630745116870075,0.0
50.150150150150154,0.032429989724107794,0.0
52.152152152152155,0.029218399940176106,0.0
54.154154154154156,0.0264988258260381,0.0
56.15615615615616,0.024157129797307136,0.0
58.15815815815816,0.022114367854794495,0.0
60.16016016016016,0.020313685740037637,0.0
62.16216216216216,0.018712794580329217,0.0
64.16416416416416,0.017208168285015008,0.0
66.16616616616616,0.015820815406337393,0.0
68.16816816816817,0.014561824048391627,0.0
70.17017017017017,0.01341461033501897,0.0
72.1721721721722,0.012365538631760101,0.0
74.1741741741742,0.011403258604538885,0.0
76.1761761761762,0.010518218903989046,0.0
78.1781781781782,0.009702303856592473,0.0
80.1801801801802,0.008948557622222606,0.0
82.1821821821822,0.008250971708876663,0.0
84.1841841841842,0.007604319148557569,0.0
86.1861861861862,0.0070040235556363154,0.0
88.1881881881882,0.006446054617836372,0.0
90.19019019019021,0.005926843865225568,0.0
92.19219219219221,0.005443216171863316,0.0
94.19419419419421,0.004992333590392884,0.0
96.19619619619621,0.0045716489469489925,0.0
98.19819819819821,0.004178867228584668,0.0
